"Description: ","Standardised Precipitation Index"
"Station: ","9434001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, spi
2017-02, -1.08909310920636
2017-03, -1.05813747917342
2017-04, -1.0332227665823
2017-05, -1.39581078011804
2017-06, -1.43069926642577
2017-07, -1.8646876815607
2017-08, -1.95858307003892
2017-09, -2.10319716978296
2017-10, -2.04035600419491
2017-11, -2.02093824044872
2017-12, -2.01380713431475
2018-01, -2.03002805624862
2018-02, -2.02193124894261
2018-03, -1.73871232407868
2018-04, -1.51002277098891
2018-05, -1.41537212123063
2018-06, -1.22331405176835
2018-07, -1.64481745200552
2018-08, -1.64001689765385
2018-09, -1.47658188911271
2018-10, -1.42674256628133
2018-11, -1.26629693486662
2018-12, -1.32844776763052
2019-01, -1.3626944917697
2019-02, -1.37027789586231
2019-03, -1.39751913206001
2019-04, -1.46440846153165
2019-05, -1.26585007590815
2019-06, -1.19205696969697
2019-07, -0.784702715460427
2019-08, -0.884689531912517
2019-09, -0.979324409431704
2019-10, -0.931978137229514
2019-11, -0.860727585729076
2019-12, -0.868330893032645
2020-01, -99.9
2020-02, -99.9
2020-03, -99.9
2020-04, -99.9
2020-05, -99.9
2020-06, -99.9
2020-07, -99.9
2020-08, -99.9
2020-09, -99.9
2020-10, -99.9
2020-11, -99.9
2020-12, -99.9
