"Description: ","Standardised Precipitation-Evapotranspiration Index"
"Station: ","9434001"
"Latitude: ","-39.15"
"Longitude: ","-72.6667"
"Climpact_version: ","3.2.0"
"Date_of_calculation: ","2024-06-26"
time, spei
2002-06, 0.182601551813593
2002-07, 0.219553220659949
2002-08, 0.379529019936058
2002-09, 0.368293606111765
2002-10, 0.926989621412729
2002-11, 1.06371764141911
2002-12, 1.0272173386848
2003-01, 0.858854429908697
2003-02, 0.8663882161367
2003-03, 0.808041120291057
2003-04, 0.765892228373614
2003-05, 0.354461800420231
2003-06, 0.517084550080389
2003-07, 0.1495464560457
2003-08, 0.0483497786418283
2003-09, 0.278778523845929
2003-10, 0.370910396160245
2003-11, 0.440398578810909
2003-12, 0.524591677746964
2004-01, 0.479521819893111
2004-02, 0.446125749068097
2004-03, 0.376861614785215
2004-04, 0.449536965490226
2004-05, 0.0393349644192108
2004-06, 0.271402004826056
2004-07, 0.450989736435106
2004-08, 0.28379199976336
2004-09, 0.194332052279637
2004-10, -0.221101354563717
2004-11, -0.278479797923205
2004-12, -0.36385686657427
2005-01, -0.372702167666601
2005-02, -0.433048034973788
2005-03, -0.380221158462719
2005-04, -0.366808767408189
2005-05, 0.326723377459817
2005-06, 0.0941317836443153
2005-07, 0.169974459759508
2005-08, 0.379935932481226
2005-09, 0.133324721373408
2005-10, 0.0911194715973269
2005-11, 0.220322398689324
2005-12, 0.159845735811502
2006-01, 0.256048910737091
2006-02, 0.269192194779308
2006-03, 0.272677861056221
2006-04, 0.226677054419299
2006-05, 0.537265243265067
2006-06, 0.715066170817837
2006-07, 0.719187919303838
2006-08, 0.852820985300711
2006-09, 0.859447177785561
2006-10, 0.699102181900319
2006-11, 0.53193924767864
2006-12, 0.580204792406539
2007-01, 0.509978249506687
2007-02, 0.667551920791668
2007-03, 0.625792446628403
2007-04, 0.828948412370057
2007-05, 0.310784850116504
2007-06, 0.0612226949462167
2007-07, 0.0776650037541427
2007-08, -0.11752908652672
2007-09, -0.146635177001222
2007-10, -0.190340078536448
2007-11, -0.454798825608299
2007-12, -0.542274932486176
2008-01, -0.682737911873646
2008-02, -0.715499153235186
2008-03, -0.814756843537958
2008-04, -0.94544696073527
2008-05, -0.748315356619889
2008-06, -1.01215772104764
2008-07, -1.01724191960538
2008-08, -0.951478682667555
2008-09, -1.11741322055763
2008-10, -1.1550630215441
2008-11, -1.13883592779016
2008-12, -1.294411273958
2009-01, -1.32775998081523
2009-02, -1.35980279585317
2009-03, -1.43384063277419
2009-04, -1.6198155322812
2009-05, -1.43638054267292
2009-06, -1.38880476033508
2009-07, -1.52414980086769
2009-08, -1.34108901504713
